,Country,Player,Span,Matches,Innings,Not_Out,Runs,Highest_score,Average,Ball_Faced,Strike_Rate,Hundreds,Fiftys,Zeros,Fours,Sixes
218,Australia,BM Laird,1979-1982,23,23,3,594,117*,29.70,1105,53.75,1,2,-,52,0
219,Australia,MA Starc,2010-2024,127,75,27,577,52*,12.02,744,77.55,-,1,12,42,14
220,Australia,BJ Hodge,2005-2007,25,21,2,575,123,30.26,657,87.51,1,3,3,51,12
221,Australia,GS Blewett,1995-1999,32,30,3,551,57*,20.40,889,61.97,-,2,3,35,3
222,Australia,PJ Cummins,2011-2024,90,59,22,537,37,14.51,703,76.38,-,-,8,43,12
223,Australia,KD Walters,1971-1981,28,24,6,513,59,28.50,732,70.08,-,2,1,37,0
224,Australia,PR Reiffel,1992-1999,92,57,21,503,58,13.97,709,70.94,-,1,5,26,1
225,Australia,MRJ Veletta,1987-1989,20,19,4,484,68*,32.26,642,75.38,-,2,2,29,0
226,Australia,S Lee,1995-2001,45,35,8,477,47,17.66,500,95.40,-,-,3,31,7
227,Australia,AJ Bichel,1997-2004,67,36,13,471,64,20.47,600,78.50,-,1,5,33,10
228,Australia,JP Maher,1998-2003,26,20,3,438,95,25.76,673,65.08,-,1,1,40,7
229,Australia,PL Taylor,1987-1992,83,47,25,437,54*,19.86,583,74.95,-,1,4,23,0
230,Australia,CJ McDermott,1985-1996,138,78,17,432,37,7.08,492,87.80,-,-,15,36,8
231,Australia,DM Wellham,1981-1987,17,17,2,379,97,25.26,699,54.22,-,1,-,16,0
232,Australia,GF Lawson,1980-1989,79,52,18,378,33*,11.11,500,75.60,-,-,9,19+,4
233,Australia,SA Abbott,2014-2025,28,21,2,374,69,19.68,388,96.39,-,2,1,32,13
234,Australia,PJ Forrest,2012-2012,15,14,-,368,104,26.28,561,65.59,1,3,2,34,4
235,Australia,WM Darling,1978-1982,18,18,1,363,74,21.35,679,53.46,-,1,-,26,0
236,Australia,A Zampa,2016-2025,111,55,19,362,36,10.05,545,66.42,-,-,6,31,2
237,Australia,NM Hauritz,2002-2011,58,32,17,336,53*,22.40,349,96.27,-,1,-,21,8
238,Australia,AC Agar,2015-2023,22,18,5,322,48*,24.76,388,82.98,-,-,3,28,4
239,Australia,RB McCosker,1975-1982,14,14,-,320,95,22.85,623,51.36,-,2,2,14,0
240,Australia,JN Gillespie,1996-2005,97,39,16,289,44*,12.56,367,78.74,-,-,8,16,6
241,Australia,MW Short,2023-2025,15,13,-,280,63,21.53,285,98.24,-,2,1,32,9
242,Australia,DT Christian,2012-2021,20,18,5,273,39,21.00,307,88.92,-,-,-,23,3
243,Australia,JW Hastings,2010-2017,29,21,11,271,51,27.10,273,99.26,-,1,1,29,8
244,Australia,R Edwards,1972-1975,9,8,1,255,80*,36.42,349,73.06,-,3,1,22,0
245,Australia,NM Coulter-Nile,2013-2019,32,21,6,252,92,16.80,262,96.18,-,1,2,20,6
246,Australia,A Turner,1975-1975,6,6,-,247,101,41.16,309,79.93,1,-,-,25,1
247,Australia,MJ Di Venuto,1997-1997,9,9,-,241,89,26.77,281,85.76,-,2,-,28,0
248,Australia,DK Lillee,1972-1983,63,34,8,240,42*,9.23,320,75.00,-,-,6,17,1
249,Australia,TM Chappell,1980-1983,20,13,-,229,110,17.61,365,62.73,1,-,2,18,0
250,Australia,AMJ Hilditch,1979-1985,8,8,-,226,72,28.25,476,47.47,-,1,-,15,0
251,Australia,KR Stackpole,1971-1974,6,6,-,224,61,37.33,387,57.88,-,3,-,28,0
252,Australia,BP Julian,1993-1999,25,17,-,224,35,13.17,250,89.60,-,-,4,17,6
253,Australia,BR McDermott,2021-2022,5,5,-,223,104,44.60,278,80.21,1,1,1,19,5
254,Australia,DJM Short,2018-2020,8,8,1,211,69,30.14,269,78.43,-,1,1,16,1
255,Australia,NW Bracken,2001-2009,116,35,18,199,21*,11.70,282,70.56,-,-,5,10,5
256,Australia,AJ Turner,2019-2021,9,7,1,192,84*,32.00,160,120.00,-,1,-,10,10
257,Australia,CJ McKay,2009-2014,59,31,10,190,30,9.04,337,56.37,-,-,3,15,2
258,Australia,JR Thomson,1975-1985,50,30,6,181,21,7.54,280,64.64,-,-,5,9,2
259,Australia,GC Dyer,1986-1988,23,13,2,174,45*,15.81,227,76.65,-,-,1,8,4
260,Australia,AM Hardie,2023-2025,13,10,-,166,44,16.60,199,83.41,-,-,1,15,2
261,Australia,JL Langer,1994-1997,8,7,2,160,36,32.00,180,88.88,-,-,-,13,4
262,Australia,GJ Cosier,1975-1979,9,7,2,154,84,30.80,166,92.77,-,1,1,15,2
263,Australia,DW Fleming,1994-2001,88,31,18,152,29,11.69,221,68.77,-,-,5,9,1
264,Australia,JA Burns,2015-2015,6,6,-,146,69,24.33,184,79.34,-,1,1,16,1
265,Australia,JM Wiener,1979-1980,7,7,-,140,50,20.00,324,43.20,-,1,-,12,0
266,Australia,KH MacLeay,1983-1987,16,13,2,139,41,12.63,170,81.76,-,-,-,7,3
267,Australia,RM Hogg,1979-1985,71,35,20,137,22,9.13,217,63.13,-,-,2,8,0
268,Australia,JR Hazlewood,2010-2024,91,35,27,131,23*,16.37,161,81.36,-,-,4,14,3
269,Australia,TJ Zoehrer,1986-1994,22,15,3,130,50,10.83,183,71.03,-,1,2,9,0
270,Australia,PA Jaques,2006-2007,6,6,-,125,94,20.83,176,71.02,-,1,1,16,1
271,Australia,AIC Dodemaide,1988-1993,24,16,7,124,30,13.77,159,77.98,-,-,1,4,0
